SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678957.425823, , , , , , -8.544461, , , 
1712678957.456717, , , , , , -8.403906, , , 
1712678957.487010, , , , , , -8.301556, , , 
1712678957.517313, , , , , , -8.235560, , , 
1712678957.547614, , , , , , -8.221273, , , 
1712678957.577915, , , , , , -8.260096, , , 
1712678957.608233, , , , , , -8.339945, , , 
1712678957.638529, , , , , , -8.455965, , , 
1712678957.668831, , , , , , -8.609558, , , 
1712678957.699140, , , , , , -8.781595, , , 
1712678957.729438, , , , , , -8.965615, , , 
1712678957.759801, , , , , , -9.147756, , , 
1712678957.790041, , , , , , -9.310907, , , 
1712678957.820358, , , , , , -9.449565, , , 
1712678957.850895, , , , , , -9.547443, , , 
1712678957.880980, , , , , , -9.599547, , , 
1712678957.911307, , , , , , -9.591454, , , 
1712678957.941336, , , , , , -9.525939, , , 
1712678957.971919, , , , , , -9.413646, , , 
1712678958.001667, , , , , , -9.266489, , , 
1712678958.032648, , , , , , -9.089451, , , 
1712678958.062806, , , , , , -8.893622, , , 
1712678958.093171, , , , , , -8.701200, , , 
1712678958.123460, , , , , , -8.520674, , , 
1712678958.153854, , , , , , -8.364860, , , 
1712678958.184153, , , , , , -8.240110, , , 
1712678958.214362, , , , , , -8.149943, , , 
1712678958.244768, , , , , , -8.107260, , , 
1712678958.274968, , , , , , -8.116802, , , 
1712678958.305357, , , , , , -8.194013, , , 
1712678958.335572, , , , , , -8.301881, , , 
1712678958.365877, , , , , , -8.445447, , , 
1712678958.396174, , , , , , -8.613666, , , 
1712678958.426064, , , , , , -8.791872, , , 
1712678958.456779, , , , , , -8.977929, , , 
1712678958.487105, , , , , , -9.151890, , , 
1712678958.517386, , , , , , -9.296784, , , 
1712678958.547688, , , , , , -9.414987, , , 
1712678958.578102, , , , , , -9.484892, , , 
1712678958.608303, , , , , , -9.500670, , , 
1712678958.638562, , , , , , -9.464717, , , 
1712678958.668895, , , , , , -9.368612, , , 
1712678958.699199, , , , , , -9.236905, , , 
1712678958.729501, , , , , , -9.067405, , , 
1712678958.759846, , , , , , -8.878543, , , 
1712678958.790107, , , , , , -8.686597, , , 
1712678958.820408, , , , , , -8.497848, , , 
1712678958.850708, , , , , , -8.326879, , , 
1712678958.881015, , , , , , -8.184869, , , 
1712678958.911316, , , , , , -8.079136, , , 
1712678958.941729, , , , , , -8.009338, , , 
1712678958.971993, , , , , , -7.983904, , , 
1712678959.002230, , , , , , -8.014874, , , 
1712678959.032622, , , , , , -8.088670, , , 
1712678959.062179, , , , , , -8.197079, , , 
1712678959.092362, , , , , , -8.335202, , , 
1712678959.123518, , , , , , -8.506638, , , 
1712678959.153737, , , , , , -8.691702, , , 
1712678959.184035, , , , , , -8.874341, , , 
1712678959.214424, , , , , , -9.047392, , , 
1712678959.244640, , , , , , -9.197124, , , 
1712678959.275049, , , , , , -9.310627, , , 
1712678959.305374, , , , , , -9.397951, , , 
1712678959.335664, , , , , , -9.396444, , , 
1712678959.365722, , , , , , -9.344028, , , 
1712678959.396154, , , , , , -9.236728, , , 
1712678959.426545, , , , , , -9.094890, , , 
1712678959.456098, , , , , , -8.922777, , , 
1712678959.487059, , , , , , -8.729213, , , 
1712678959.517408, , , , , , -8.537251, , , 
1712678959.547662, , , , , , -8.351248, , , 
1712678959.577966, , , , , , -8.186842, , , 
1712678959.608409, , , , , , -8.049948, , , 
1712678959.638597, , , , , , -7.946893, , , 
1712678959.668874, , , , , , -7.887742, , , 
1712678959.699179, , , , , , -7.877053, , , 
1712678959.729477, , , , , , -7.905555, , , 
1712678959.759878, , , , , , -7.978513, , , 
1712678959.790086, , , , , , -8.093892, , , 
1712678959.820386, , , , , , -8.241115, , , 
1712678959.850696, , , , , , -8.411160, , , 
1712678959.880990, , , , , , -8.594993, , , 
1712678959.911436, , , , , , -8.779166, , , 
1712678959.941686, , , , , , -8.950587, , , 
1712678959.971411, , , , , , -9.098986, , , 
1712678960.002155, , , , , , -9.212399, , , 
1712678960.032166, , , , , , -9.286168, , , 
1712678960.062765, , , , , , -9.303879, , , 
1712678960.093247, , , , , , -9.270025, , , 
1712678960.123410, , , , , , -9.183208, , , 
1712678960.153747, , , , , , -9.053214, , , 
1712678960.184103, , , , , , -8.888533, , , 
1712678960.214316, , , , , , -8.703151, , , 
1712678960.244621, , , , , , -8.510289, , , 
1712678960.275038, , , , , , -8.319721, , , 
1712678960.305282, , , , , , -8.144701, , , 
1712678960.335500, , , , , , -7.951404, , , 
1712678960.365824, , , , , , -7.847331, , , 
1712678960.395743, , , , , , -7.778821, , , 
1712678960.426325, , , , , , -7.752256, , , 
1712678960.456747, , , , , , -7.778189, , , 
1712678960.487036, , , , , , -7.849391, , , 
1712678960.517339, , , , , , -7.957033, , , 
1712678960.547641, , , , , , -8.095114, , , 
1712678960.577942, , , , , , -8.259354, , , 
1712678960.608254, , , , , , -8.442615, , , 
1712678960.638549, , , , , , -8.625576, , , 
1712678960.668856, , , , , , -8.803358, , , 
1712678960.699152, , , , , , -8.958712, , , 
1712678960.729482, , , , , , -9.083560, , , 
1712678960.759756, , , , , , -9.171773, , , 
1712678960.790060, , , , , , -9.206862, , , 
1712678960.820362, , , , , , -9.189048, , , 
1712678960.850666, , , , , , -9.119950, , , 
1712678960.881009, , , , , , -9.002365, , , 
1712678960.911884, , , , , , -8.850000, , , 
1712678960.941658, , , , , , -8.670415, , , 
1712678960.971979, , , , , , -8.478234, , , 
1712678961.002175, , , , , , -8.286491, , , 
1712678961.032577, , , , , , -8.104453, , , 
1712678961.062031, , , , , , -7.942149, , , 
1712678961.093192, , , , , , -7.810029, , , 
1712678961.123389, , , , , , -7.712199, , , 
1712678961.153798, , , , , , -7.653334, , , 
1712678961.183996, , , , , , -7.642269, , , 
1712678961.214292, , , , , , -7.673854, , , 
1712678961.244699, , , , , , -7.749027, , , 
1712678961.275010, , , , , , -7.859792, , , 
1712678961.305179, , , , , , -8.005594, , , 
1712678961.335584, , , , , , -8.173188, , , 
1712678961.365801, , , , , , -8.415621, , , 
1712678961.396108, , , , , , -8.600051, , , 
1712678961.426414, , , , , , -8.770775, , , 
1712678961.456827, , , , , , -8.916040, , , 
1712678961.487012, , , , , , -9.025026, , , 
1712678961.517374, , , , , , -9.092063, , , 
1712678961.547620, , , , , , -9.110366, , , 
1712678961.577919, , , , , , -9.074085, , , 
1712678961.608257, , , , , , -8.987507, , , 
1712678961.638524, , , , , , -8.855053, , , 
1712678961.668828, , , , , , -8.693139, , , 
1712678961.699129, , , , , , -8.509005, , , 
1712678961.729432, , , , , , -8.315806, , , 
1712678961.759839, , , , , , -8.124408, , , 
1712678961.790038, , , , , , -7.946620, , , 
1712678961.820357, , , , , , -7.791582, , , 
1712678961.850646, , , , , , -7.670109, , , 
1712678961.880892, , , , , , -7.580035, , , 
1712678961.911269, , , , , , -7.529657, , , 
1712678961.941603, , , , , , -7.529341, , , 
1712678961.971946, , , , , , -7.569989, , , 
1712678962.001643, , , , , , -7.651480, , , 
1712678962.032460, , , , , , -7.768053, , , 
1712678962.061994, , , , , , -7.918228, , , 
1712678962.093170, , , , , , -8.087148, , , 
1712678962.123465, , , , , , -8.271184, , , 
1712678962.153750, , , , , , -8.454137, , , 
1712678962.183969, , , , , , -8.630216, , , 
1712678962.214235, , , , , , -8.782174, , , 
1712678962.244572, , , , , , -8.901818, , , 
1712678962.274892, , , , , , -8.986300, , , 
1712678962.305141, , , , , , -9.016274, , , 
1712678962.335649, , , , , , -8.991672, , , 
1712678962.365875, , , , , , -8.920034, , , 
1712678962.396088, , , , , , -8.754807, , , 
1712678962.426388, , , , , , -8.591630, , , 
1712678962.456583, , , , , , -8.405862, , , 
1712678962.486991, , , , , , -8.214375, , , 
1712678962.517293, , , , , , -8.022676, , , 
1712678962.547621, , , , , , -7.845429, , , 
1712678962.577898, , , , , , -7.688024, , , 
1712678962.608214, , , , , , -7.561242, , , 
1712678962.638502, , , , , , -7.470143, , , 
1712678962.668806, , , , , , -7.417454, , , 
1712678962.699108, , , , , , -7.409164, , , 
1712678962.729440, , , , , , -7.444084, , , 
1712678962.759812, , , , , , -7.519517, , , 
1712678962.790012, , , , , , -7.630642, , , 
1712678962.820316, , , , , , -7.774255, , , 
1712678962.850622, , , , , , -7.940103, , , 
1712678962.880919, , , , , , -8.122618, , , 
1712678962.911327, , , , , , -8.307625, , , 
1712678962.941641, , , , , , -8.486176, , , 
1712678962.971935, , , , , , -8.644319, , , 
1712678963.002221, , , , , , -8.775146, , , 
1712678963.032278, , , , , , -8.867602, , , 
1712678963.062737, , , , , , -8.911051, , , 
1712678963.093041, , , , , , -8.903920, , , 
1712678963.123337, , , , , , -8.848314, , , 
1712678963.153754, , , , , , -8.744129, , , 
1712678963.183944, , , , , , -8.599401, , , 
1712678963.214220, , , , , , -8.428293, , , 
